Date,Mkt-RF,SMB,HML
20170807,0.0016,-0.001,-0.0058
20170808,-0.0024,-0.0007,0.0024
20170809,-0.0014,-0.0077,-0.0007
20170810,-0.0149,-0.003,0.0027
20170811,0.0019,0.0023,-0.0087
20170814,0.0103,0.0029,0.0012
20170815,-0.0011,-0.0086,-0.0002
20170816,0.0018,-0.0013,-0.0044
20170817,-0.016,-0.0017,-0.0017
20170818,-0.0015,0.0012,0.0024
20170821,0.0006,-0.0024,-0.0022
20170822,0.0106,-0.0002,-0.0024
20170823,-0.0033,0.0009,0.0042
20170824,-0.0014,0.0059,0.0017
20170825,0.0018,0.0012,0.0055
20170828,0.0008,0.0034,-0.0074
20170829,0.001,0.0013,-0.0038
20170830,0.0053,0,-0.0032
20170831,0.0062,0.0048,-0.0043
20170901,0.0027,0.0041,0.0041
20170905,-0.0081,0.0008,-0.0098
20170906,0.0028,-0.0005,0.0012
20170907,-0.0007,0.0014,-0.0091
20170908,-0.0016,0.0003,0.0038
20170911,0.0108,-0.0011,0.0064
20170912,0.0044,0.0023,0.0072
20170913,0.0011,0.0027,0.0032
20170914,-0.0012,-0.0003,-0.0006
20170915,0.0019,0.0029,0.0014
20170918,0.0024,0.0039,0.002
20170919,0.0015,-0.0029,0.0039
20170920,0.0016,0.0022,0.0049
20170921,-0.0028,0.001,0.0037
